id,category,task_type,risk,routed_model,routed_tier,router_cost,benchmark_cost,savings_%,latency_router_ms,latency_bench_ms,correctness,completeness,style,parity,overall,judge_rationale,error
exp-1,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000195,0.014685,98.7,4720,4698,9,8,8,7,8,"Router response is accurate and includes helpful code examples, but the benchmark is more concise and better emphasizes practical use cases for choosing between them.",""
exp-2,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000153,0.021585,99.3,4119,6480,8,6,7,6,7,"Router provides accurate core differences with good examples, but misses declaration merging nuance and lacks practical guidance on when to use each.",""
exp-3,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000194,0.029640,99.3,5091,7172,9,7,9,7,8,"Router response is accurate and well-explained with good examples, but misses important caveats about unbounded cache growth and object key ordering that the benchmark covers.",""
edit-1,simple_edit,simple_edit,1,openai/gpt-4o-mini,mid,0.000129,0.013200,99.0,1550,2045,10,10,10,10,10,"Router response is identical to benchmark—all three occurrences of 'x' correctly renamed to 'count' with no errors or omissions.",""
edit-2,simple_edit,simple_edit,1,openai/gpt-4o-mini,mid,0.000170,0.020355,99.2,2104,3221,10,10,9,8,9,"Router response is correct and complete with proper JSDoc syntax; benchmark's description is slightly more precise about debounce semantics (mentions 'since the last call'), but both are high-quality and functionally equivalent.",""
edit-3,simple_edit,simple_edit,2,openai/gpt-4o-mini,mid,0.000134,0.012210,98.9,1419,2036,8,7,6,5,6,"Router's code works but uses let unnecessarily for age; benchmark correctly identifies that all variables should be const since none are reassigned, which is the modern best practice.",""
ui-1,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000206,0.037080,99.4,3128,4952,8,6,7,6,7,"Router response works correctly but lacks disabled state handling, doesn't extend native button props, and misses some accessibility refinements present in the benchmark.",""
ui-2,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000126,0.015000,99.2,1599,2901,10,10,9,9,9,"Router response is functionally identical and correct, with only minor style differences (single vs double quotes, formatting) that don't affect functionality.",""
ui-3,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000122,0.016185,99.2,1243,2742,9,7,8,7,8,"Router response correctly implements hover and focus styles with proper Tailwind syntax, but omits transition smoothing and focus ring offset for a more polished UX.",""
test-1,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000357,0.045495,99.2,5475,6540,6,5,6,4,5,"Router includes problematic tests (null/undefined/string size don't actually throw) that would fail, lacks organized structure, and misses important edge cases like size=1 and exact-length chunking.",""
test-2,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000340,0.098160,99.7,5532,12216,7,6,8,5,6,"Router provides solid, well-organized tests but lacks depth in valid cases (no plus addressing, dots, numbers, hyphens) and edge cases (non-string types, length limits, dot edge cases), making it less comprehensive than benchmark.",""
test-3,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000266,0.045165,99.4,3703,6249,8,7,7,6,7,"Router covers core async error cases well but lacks proper mock cleanup, misses empty string edge case, and doesn't verify fetch call arguments like the benchmark does.",""
bug-1,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000199,0.020865,99.0,1778,3335,10,10,10,10,10,"Router response correctly identifies the root cause, applies the exact same fix, and provides clear explanation with proper diff formatting.",""
bug-2,local_bug_fix,local_bug_fix,4,google/gemini-2.5-pro,strong,0.005700,0.026895,78.8,5538,4574,10,10,9,10,10,"Router response correctly identifies the race condition and implements an identical fix using promise chaining; only minor naming difference (pending vs mutex) with no functional impact.",""
bug-3,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000204,0.021780,99.1,1766,3585,10,10,9,9,9,"Router correctly identifies the infinite loop bug and provides a working fix with proper explanation; minor stylistic differences from benchmark (prevItems vs prev naming) don't affect quality.",""
bug-4,local_bug_fix,local_bug_fix,2,openai/gpt-4o-mini,mid,0.000195,0.022545,99.1,2128,3443,10,10,9,9,9,"Router correctly identifies and fixes the off-by-one bug with accurate explanation, though benchmark provides a more concrete example demonstrating the fix.",""
api-1,api_implementation,api_implementation,3,openai/gpt-4o-mini,mid,0.000272,0.034440,99.2,3986,4685,7,6,7,6,6,"Router response works but adds unnecessary authentication middleware, uses parse() instead of safeParse(), and catches all errors locally rather than delegating to Express error handler—less idiomatic than benchmark.",""
api-2,api_implementation,api_implementation,3,openai/gpt-4o-mini,mid,0.000266,0.044265,99.4,3786,5711,7,6,6,5,6,"Router implements core functionality correctly but lacks schema validation, proper Fastify plugin structure, and includes unnecessary defensive checks that duplicate framework capabilities.",""
