id,category,prompt,expected_task,expected_floor,classified_task,routed_model,routed_tier,task_correct,floor_ok,ceiling_ok,design_pass_pct,router_cost,benchmark_cost,llm_fellback,error
creat-1,creative_generation,"make a simple breakout web game",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.065955,0.354225,N,""
creat-2,creative_generation,"build a snake game in HTML and JS",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.000000,0.488955,N,""
creat-3,creative_generation,"make a pong game",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.072138,0.302715,N,""
creat-4,creative_generation,"build a tetris clone",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.000000,0.450015,N,""
creat-5,creative_generation,"make a 2048 game in vanilla JS",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.000000,0.000000,Y,""
creat-6,creative_generation,"build a memory match card game with 16 cards",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.000000,0.000000,Y,""
creat-7,creative_generation,"make a flappy bird clone",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.000000,0.000000,Y,""
creat-8,creative_generation,"build a wordle clone",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.000000,0.000000,Y,""
creat-9,creative_generation,"make a landing page for an AI startup called Cupid",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.000000,0.000000,Y,""
creat-10,creative_generation,"build a portfolio site with hero, projects, and contact sections",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.000000,0.000000,Y,""
creat-11,creative_generation,"make an interactive demo of conway's game of life",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.000000,0.000000,Y,""
creat-12,creative_generation,"build a kanban board app — drag and drop cards between columns",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.000000,0.000000,Y,""
creat-13,creative_generation,"make a pomodoro timer app",creative_generation,mid,unknown,openai/gpt-4o-mini,mid,N,Y,Y,0,0.000348,0.000000,Y,""
creat-14,creative_generation,"build a tip calculator app with bill splitting",creative_generation,mid,unknown,openai/gpt-4o-mini,mid,N,Y,Y,0,0.000394,0.000000,Y,""
creat-15,creative_generation,"make a tiny chat app demo with fake AI responses",creative_generation,mid,creative_generation,anthropic/claude-sonnet-4.6,strong,Y,Y,Y,100,0.000000,0.000000,Y,""
creat-16,creative_generation,"build a weather dashboard with mock data and pretty icons",creative_generation,mid,test_generation,openai/gpt-4o-mini,mid,N,Y,Y,20,0.000384,0.000000,Y,""
exp-1,explanation,"explain how promise.allsettled differs from promise.all",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000205,0.000000,Y,""
exp-2,explanation,"what's the difference between interface and type in typescript",explanation,cheap,architecture_design,anthropic/claude-sonnet-4.6,strong,N,Y,N,100,0.000000,0.000000,Y,""
exp-3,explanation,"what does this code do",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000208,0.000000,Y,""
exp-4,explanation,"what is the event loop in node",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000174,0.000000,Y,""
exp-5,explanation,"explain javascript closures with an example",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000159,0.000000,Y,""
exp-6,explanation,"what's CORS and how do i handle it",explanation,cheap,security_sensitive_change,anthropic/claude-sonnet-4.6,strong,N,Y,N,100,0.000000,0.000000,Y,""
exp-7,explanation,"explain the difference between SQL JOIN types",explanation,cheap,database_schema_change,anthropic/claude-sonnet-4.6,strong,N,Y,N,100,0.000000,0.000000,Y,""
exp-8,explanation,"summarize the changes in React 19",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000149,0.000000,Y,""
exp-9,explanation,"what does this regex do: /^(?=.*[A-Z])(?=.*\d).{8,}$/",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000145,0.000000,Y,""
exp-10,explanation,"what is dependency injection and when should I use it",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000155,0.000000,Y,""
edit-1,simple_edit,"rename variable x to count in this function",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000125,0.000000,Y,""
edit-2,simple_edit,"add a JSDoc comment to this function",simple_edit,cheap,documentation_write,openai/gpt-4o-mini,mid,N,Y,Y,100,0.000117,0.000000,Y,""
edit-3,simple_edit,"convert this from var to const/let",simple_edit,cheap,unknown,openai/gpt-4o-mini,mid,N,Y,Y,100,0.000103,0.000000,Y,""
edit-4,simple_edit,"remove all console.log calls from this file",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000123,0.000000,Y,""
edit-5,simple_edit,"add type annotations to these function parameters",simple_edit,cheap,simple_edit,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000121,0.000000,Y,""
edit-6,simple_edit,"fix the typo in this error message: 'Cant find user'",simple_edit,cheap,local_bug_fix,openai/gpt-4o-mini,mid,N,Y,Y,100,0.000169,0.000000,Y,""
edit-7,simple_edit,"rename file constants.js to config.js and update imports",multi_file_refactor,cheap,simple_edit,openai/gpt-4o-mini,mid,N,Y,Y,100,0.000137,0.000000,Y,""
edit-8,simple_edit,"change all double quotes to single quotes in this file",simple_edit,cheap,multi_file_refactor,anthropic/claude-sonnet-4.6,strong,N,Y,N,100,0.000000,0.000000,Y,""
edit-9,simple_edit,"sort these imports alphabetically",simple_edit,cheap,unknown,openai/gpt-4o-mini,mid,N,Y,Y,100,0.000143,0.000000,Y,""
edit-10,simple_edit,"add a TODO comment above this function explaining what's missing",simple_edit,cheap,unknown,openai/gpt-4o-mini,mid,N,Y,Y,100,0.000118,0.000000,Y,""
ui-1,ui_change,"add hover and focus styles to this button using Tailwind",ui_change,cheap,ui_change,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000120,0.000000,Y,""
