id,category,prompt,expected_task,expected_floor,classified_task,routed_model,routed_tier,task_correct,floor_ok,ceiling_ok,design_pass_pct,router_cost,benchmark_cost,llm_fellback,error
creat-1,creative_generation,"make a simple breakout web game",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,88,0.037560,0.483825,N,""
creat-2,creative_generation,"build a snake game in HTML and JS",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.031908,0.382455,N,""
creat-3,creative_generation,"make a pong game",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.034215,0.348465,N,""
creat-4,creative_generation,"build a tetris clone",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.046046,0.467940,N,""
creat-5,creative_generation,"make a 2048 game in vanilla JS",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.048764,0.430590,N,""
creat-6,creative_generation,"build a memory match card game with 16 cards",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,80,0.030924,0.243630,N,""
creat-7,creative_generation,"make a flappy bird clone",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,75,0.033699,0.390720,N,""
creat-8,creative_generation,"build a wordle clone",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.025535,0.574215,N,""
creat-9,creative_generation,"make a landing page for an AI startup called Cupid",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.034893,0.620295,N,""
creat-10,creative_generation,"build a portfolio site with hero, projects, and contact sections",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.063455,0.620295,N,""
creat-11,creative_generation,"make an interactive demo of conway's game of life",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,75,0.040575,0.474330,N,""
creat-12,creative_generation,"build a kanban board app — drag and drop cards between columns",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.036629,0.443715,N,""
creat-13,creative_generation,"make a pomodoro timer app",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.039307,0.384720,N,""
creat-14,creative_generation,"build a tip calculator app with bill splitting",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.046310,0.288360,N,""
creat-15,creative_generation,"make a tiny chat app demo with fake AI responses",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.026892,0.348390,N,""
creat-16,creative_generation,"build a weather dashboard with mock data and pretty icons",creative_generation,mid,creative_generation,google/gemini-2.5-pro,strong,Y,Y,Y,100,0.047263,0.399765,N,""
exp-1,explanation,"explain how promise.allsettled differs from promise.all",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000222,0.030105,N,""
exp-2,explanation,"what's the difference between interface and type in typescript",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000552,0.024525,N,""
exp-3,explanation,"what does this code do",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000210,0.026430,N,""
exp-4,explanation,"what is the event loop in node",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000152,0.026940,N,""
exp-5,explanation,"explain javascript closures with an example",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000155,0.029085,N,""
exp-6,explanation,"what's CORS and how do i handle it",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000461,0.029400,N,""
exp-7,explanation,"explain the difference between SQL JOIN types",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000411,0.030675,N,""
exp-8,explanation,"summarize the changes in React 19",explanation,cheap,explanation,openai/gpt-4o-mini,mid,Y,Y,Y,100,0.000161,0.029400,N,""
