id,category,task_type,risk,routed_model,routed_tier,router_cost,benchmark_cost,savings_%,latency_router_ms,latency_bench_ms,correctness,completeness,style,parity,overall,judge_rationale,error
exp-1,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000194,0.014610,98.7,5595,5332,9,8,8,7,8,"Router response is technically accurate with good examples, but benchmark is more concise and includes practical use-case guidance that router lacks.",""
exp-2,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000153,0.021510,99.3,5046,6053,8,6,7,6,7,"Router response is accurate and covers main differences with good examples, but lacks the critical declaration merging detail and practical guidance that makes the benchmark more complete and actionable.",""
exp-3,explanation,explanation,1,openai/gpt-4o-mini,mid,0.000194,0.027690,99.3,5915,6733,9,7,9,7,8,"Router response is clear and correct but misses important caveats about JSON.stringify limitations that the benchmark appropriately highlights.",""
edit-1,simple_edit,simple_edit,1,openai/gpt-4o-mini,mid,0.000129,0.013200,99.0,1618,2251,10,10,10,10,10,"Router response is identical to benchmark—all three occurrences of 'x' correctly renamed to 'count' with proper syntax and formatting.",""
edit-2,simple_edit,simple_edit,1,openai/gpt-4o-mini,mid,0.000175,0.020355,99.1,2719,2990,10,10,9,9,9,"Router response is functionally correct and complete with proper JSDoc syntax; slightly less precise in describing the debounce behavior compared to benchmark's mention of 'last invocation' timing.",""
edit-3,simple_edit,simple_edit,2,openai/gpt-4o-mini,mid,0.000128,0.012210,99.0,1445,1984,8,6,7,5,6,"Router's code works but uses let unnecessarily for age; benchmark correctly identifies that all variables should be const since none are reassigned.",""
ui-1,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000227,0.038805,99.4,4361,8476,8,6,7,6,7,"Router response works correctly but lacks disabled state handling, doesn't extend native button props, and has less polished styling compared to benchmark.",""
ui-2,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000128,0.015000,99.1,1583,2809,10,10,9,9,9,"Router response is functionally identical and correct; minor difference is class order (flex-col before md:flex-row vs after gap-4), which doesn't affect output but benchmark's ordering is slightly more conventional.",""
ui-3,ui_change,ui_change,1,openai/gpt-4o-mini,mid,0.000123,0.017760,99.3,1597,3139,9,7,8,7,7,"Router response correctly implements hover and focus styles but omits transition smoothing and focus ring offset, which are important for polish and accessibility.",""
test-1,test_generation,test_generation,2,openai/gpt-4o-mini,mid,0.000368,0.045720,99.2,7042,6516,7,6,6,5,6,"Router covers essential cases but includes a test for non-numeric size that the function doesn't actually validate, lacks organized test grouping, and misses the size=1 edge case that benchmark includes.",""
